divesite,country,region,location,X,Y
The Brain,Mexico,Yucatan,Playa del Carmen,20.69341779,-87.00047493
Kukulcan,Mexico,Yucatan,Playa del Carmen,20.51311279,-87.2479248
Sabalos,Mexico,Yucatan,Playa del Carmen,20.58462778,-87.10606111
Punta Benado,Mexico,Yucatan,Playa del Carmen,20.54986594,-87.14115143
Barracuda,Mexico,Yucatan,Playa del Carmen,20.58030268,-87.11141109
La Jardinera de la Esperanza,Mexico,Yucatan,Cancun,21.02827021,-86.78153694
Exectamente,Mexico,Yucatan,Cozumel Isalnd,20.4111465,-87.02154636
San Clemente reef,Mexico,Yucatan,Cozumel Isalnd,20.38170201,-87.02628851
Blue Ha Reef,Mexico,Yucatan,Mahahual,18.70543977,-87.70531654
Playa Corona,Mexico,Yucatan,Cozumel Isalnd,20.43543799,-87.0029211
La Francesa,Mexico,Yucatan,Cozumel Isalnd,20.35034167,-87.02768333
Pelicano Wreck,Mexico,Yucatan,Playa del Carmen,20.48230086,-87.2367239
Xpu-Ha Canyon,Mexico,Yucatan,Playa del Carmen,20.46903355,-87.24861145
Sieto Cocos,Mexico,Yucatan,Xcalak,18.34206106,-87.80187607
La Chiminea,Mexico,Yucatan,Xcalak,18.23175625,-87.82861233
Barracuda Point,Mexico,Yucatan,Cozumel Isalnd,20.54273303,-86.93723917
Las Esponjas,Mexico,Yucatan,Akumal,20.39211111,-87.30541667
Halfmoon Bay,Mexico,Yucatan,Akumal,20.40002778,-87.30225
Las Gorgonians,Mexico,Yucatan,Akumal,20.43625,-87.27730556
Yool Caanal,Mexico,Yucatan,Akumal,20.40313889,-87.30211111
Grouper Reef,Mexico,Yucatan,Akumal,20.38486111,-87.31002778
Leon,Mexico,Yucatan,Akumal,20.39591667,-87.3059
Herradura,Mexico,Yucatan,Akumal,20.3883,-87.30866667
Motorcycle Reef,Mexico,Yucatan,Akumal,20.39377778,-87.30744444
La Inglacia,Mexico,Yucatan,Akumal,20.37427778,-87.31997222
Yal Ku North,Mexico,Yucatan,Akumal,20.40558333,-87.30172222
Yal Ku Chicu,Mexico,Yucatan,Akumal,20.41494444,-87.29527778
Pared Verde,Mexico,Yucatan,Playa del Carmen,20.6412985,-87.05085754
Sitio de los tiburones toro,Mexico,Yucatan,Playa del Carmen,20.62744252,-87.05911875
Punta Gonzalez,Mexico,Yucatan,Banco Chinchorro,18.51330739,-87.4417305
Kai Ha,Mexico,Yucatan,Banco Chinchorro,18.56782929,-87.42404938
Punta Isabel,Mexico,Yucatan,Banco Chinchorro,18.60647232,-87.42250443
SS Far Star,Mexico,Yucatan,Banco Chinchorro,18.39272799,-87.39151955
Ginger Scout,Mexico,Yucatan,Banco Chinchorro,18.66161496,-87.22904205
Cueva de Pargo,Mexico,Yucatan,Playa del Carmen,20.62250226,-87.01309204
Cenote Azul,Mexico,Yucatan,Playa del Carmen,20.4882959,-87.25206614
Tortuga Reef,Mexico,Yucatan,Akumal,20.3923421,-87.31240511
XCaret - Snorkeling Lagoon,Mexico,Yucatan,Playa del Carmen,20.578375,-87.11816667
El Meco,Mexico,Yucatan,Cancun,21.21700056,-86.79532886
Sleepy Shark Caves,Mexico,Yucatan,Cancun,21.2831163,-86.75472021
Coco Beach,Mexico,Yucatan,Playa del Carmen,20.61027141,-87.07877398
Neto s,Mexico,Yucatan,Puerto Morelos,20.83173,-86.87671781
Rodman,Mexico,Yucatan,Puerto Morelos,20.88277626,-86.84852779
Esquela,Mexico,Yucatan,Playa del Carmen,20.49630066,-87.21972942
Tarpon Hole,Mexico,Yucatan,Xcalak,18.260878,-87.825066
Cenote Taj Mahal,Mexico,Yucatan,Playa del Carmen,20.48338632,-87.27719307
Punta Tunich,Mexico,Yucatan,Cozumel Isalnd,20.39280833,-87.02551944
Cordona Reef,Mexico,Yucatan,Cozumel Isalnd,20.38436667,-87.02423889
Mamitas,Mexico,Yucatan,Playa del Carmen,20.62616229,-87.06324399
La Pared,Mexico,Yucatan,Puerto Morelos,20.82437968,-86.87637448
Cozumel plane wreck,Mexico,Yucatan,Cozumel Isalnd,20.47995906,-86.97370112
Chac Mool Cenote,Mexico,Yucatan,Playa del Carmen,20.5128465,-87.2469002
Rio Bermejo,Mexico,Yucatan,Mahahual,18.68424022,-87.71078825
Jardin,Mexico,Yucatan,Mahahual,18.71102885,-87.70428658
Faro Nuevo,Mexico,Yucatan,Mahahual,18.72442158,-87.69570351
Escalones,Mexico,Yucatan,Mahahual,18.72210485,-87.69857883
Yucab Reef,Mexico,Yucatan,Cozumel Isalnd,20.40550542,-87.02119231
Sleeping Sharks Cave,Mexico,Yucatan,Cancun,21.28740999,-86.75597548
Ultrafreeze Wreck,Mexico,Yucatan,Cancun,21.1644028,-86.68384552
La Boya de los Locos,Mexico,Yucatan,Cancun,21.036089,-86.769924
C-58 Wreck,Mexico,Yucatan,Cancun,21.11840833,-86.72525556
San Toribio,Mexico,Yucatan,Cancun,21.12281389,-86.72133056
Aristos,Mexico,Yucatan,Cancun,21.12099722,-86.74150556
Cuevas de Afuera,Mexico,Yucatan,Cancun,21.12833889,-86.71551667
Punta Negra,Mexico,Yucatan,Cancun,21.12787222,-86.73103889
Grampin,Mexico,Yucatan,Cancun,21.14077222,-86.73663611
Chitales,Mexico,Yucatan,Cancun,21.16577222,-86.73555833
El Tunel,Mexico,Yucatan,Cancun,21.14665,-86.72708611
Santo Remedio,Mexico,Yucatan,Cancun,21.16817222,-86.73025556
Bandera,Mexico,Yucatan,Cancun,21.18734167,-86.7248
Manchones reef,Mexico,Yucatan,Cancun,21.20243056,-86.71666667
Herradura,Mexico,Yucatan,Cancun,21.11021944,-86.743525
Chun-zumbul,Mexico,Yucatan,Playa del Carmen,20.64563576,-86.97807312
Jardines,Mexico,Yucatan,Playa del Carmen,20.6240446,-87.01892853
Chikin Ha Cenote,Mexico,Yucatan,Playa del Carmen,20.49925522,-87.26028979
Las Palmas Shallows,Mexico,Yucatan,Cozumel Isalnd,20.45803333,-86.99053611
Angelita Cenote,Mexico,Yucatan,Tulum,20.13756375,-87.57796526
Chankanaab Bolones,Mexico,Yucatan,Cozumel Isalnd,20.43626238,-87.01146126
San Francisco,Mexico,Yucatan,Cozumel Isalnd,20.37072928,-87.02676058
Cenote PonDeRosa,Mexico,Yucatan,Playa del Carmen,20.49173805,-87.25824594
Gran Cenote,Mexico,Yucatan,Tulum,20.24647494,-87.46404111
Cenote Carwash,Mexico,Yucatan,Tulum,20.27413365,-87.48621225
Punta Sur - Devil s Throat,Mexico,Yucatan,Cozumel Isalnd,20.29617254,-87.02047348
Palancar Horseshoe,Mexico,Yucatan,Cozumel Isalnd,20.32659917,-87.03266144
Columbia Deep,Mexico,Yucatan,Cozumel Isalnd,20.31222,-87.02528
Paso del Cedral,Mexico,Yucatan,Cozumel Isalnd,20.35428889,-87.02827222
Villa Blanca,Mexico,Yucatan,Cozumel Isalnd,20.51605833,-86.95430556
Punta Dalila,Mexico,Yucatan,Cozumel Isalnd,20.34538889,-87.02290278
Tortugas Reef,Mexico,Yucatan,Playa del Carmen,20.58226127,-87.10850358
Palancar Deep,Mexico,Yucatan,Cozumel Isalnd,20.33384273,-87.0306015
Paraiso Bajo,Mexico,Yucatan,Cozumel Isalnd,20.47188813,-86.98146343
Santa Rosa Wall,Mexico,Yucatan,Cozumel Isalnd,20.36551923,-87.02735066
Cenote Dos Ojos,Mexico,Yucatan,Tulum,20.32475,-87.39111667
Columbia Reef,Mexico,Yucatan,Cozumel Isalnd,20.31645763,-87.01686859
Punta Sur,Mexico,Yucatan,Cozumel Isalnd,20.30188805,-87.01867104
Tormentos Reef,Mexico,Yucatan,Cozumel Isalnd,20.44075,-87.00465
C-53 Xicotencatl,Mexico,Yucatan,Cozumel Isalnd,20.4452,-87.00053333
Pargo Via,Mexico,Baja California,Isla Cerralvo,24.14331667,-109.79395
La Punta,Mexico,Baja California,,26.06927352,-112.3100138
Isla Coronadito,Mexico,Baja California,,29.09842841,-113.5269255
Punta Arenas,Mexico,Baja California,Isla Cerralvo,24.04485716,-109.8262507
La Reina,Mexico,Baja California,Isla Cerralvo,24.44496178,-109.9492836
Punta Sur  BCS,Mexico,Baja California,Isla Cerralvo,24.13742821,-109.8009843
Punta Pericos,Mexico,Baja California,Isla Cerralvo,24.01509271,-109.8059571
La Reinita,Mexico,Baja California,Isla Cerralvo,24.32505651,-109.9400514
Roca Montaí±a,Mexico,Baja California,Isla Cerralvo,24.12519685,-109.7935102
Fang Ming,Mexico,Baja California,La Paz   Isla Partida,24.44472222,-110.3813889
Los Islotes,Mexico,Baja California,La Paz   Isla Partida,24.59333406,-110.3961182
Sand Falls,Mexico,Baja California,Cabo San Lucas,22.8784932,-109.8989949
Coronados Reef,Mexico,Baja California,Coronados Islands,32.37758333,-117.2073
Middle Coronado Island,Mexico,Baja California,Coronados Islands,32.418,-117.2590833
Puerto Cueva,Mexico,Baja California,Coronados Islands,32.4137,-117.2417333
South Coronado Island,Mexico,Baja California,Coronados Islands,32.38991667,-117.23915
Middle Rock,Mexico,Baja California,Coronados Islands,32.42266667,-117.2619
North Coronado,Mexico,Baja California,Coronados Islands,32.44208333,-117.2966667
North Coronado Island Passage,Mexico,Baja California,Coronados Islands,32.43608333,-117.2947
San Jerinimo Island,Mexico,Baja California,,29.78595,-115.78885
San Martin Island,Mexico,Baja California,,30.48263333,-116.0989333
Rosario,Mexico,Baja California,,29.78083333,-115.7975
Isla De San Francisquito,Mexico,Baja California,,24.81920491,-110.5719638
Outer Pulmo Coral Reef,Mexico,Baja California,Cabo Pulmo,23.42804762,-109.4199657
El Bajo de los Meros,Mexico,Baja California,Cabo Pulmo,23.44592375,-109.4140434
El Vencedor,Mexico,Baja California,Cabo Pulmo,23.44710491,-109.4180775
El Islote,Mexico,Baja California,Cabo Pulmo,23.40670334,-109.4144726
Sea Lion Colony,Mexico,Baja California,Cabo Pulmo,23.38204681,-109.4145584
Las Casitas,Mexico,Baja California,Cabo Pulmo,23.40292245,-109.4137859
North Wall,Mexico,Baja California,Cabo San Lucas,22.87904181,-109.8995769
Neptunes Finger,Mexico,Baja California,Cabo San Lucas,22.8773515,-109.8953497
Anegada Rock,Mexico,Baja California,Cabo San Lucas,22.878854,-109.8986328
The Point,Mexico,Baja California,Cabo San Lucas,22.8760368,-109.8926353
Ixtapa Lagoon,Mexico,Capital Region,Ixtapa   Zihuatanejo,17.65267222,-101.6119222
Torrecillas,Mexico,Capital Region,Ixtapa   Zihuatanejo,17.64524892,-101.6322899
Las Estacas,Mexico,Central Highlands,,18.7312625,-99.11263347
La media Luna,Mexico,Central Highlands,,21.86062249,-100.0279909
Bird Rock Kelp Forest,United States,San Diego,La Jolla,32.80753551,117.2818941
Johnsons Lee,United States,Santa Barbara,Santa Rosa Island,33.90007851,-120.1061732
Sandy Point,United States,Santa Barbara,Santa Rosa Island,34.00359283,-120.2474423
Cuyler Harbor,United States,Santa Barbara,San Miguel Island,34.05194465,-120.3493154
Tyler Bight,United States,Santa Barbara,San Miguel Island,34.03083235,-120.4116196
Folsom Lake,United States,California,,38.74468939,-121.1423833
Jingäó»s Finding 1,United States,California,Orange County,33.57474736,-117.8559775
Little Corona Beach,United States,California,Orange County,33.58950784,-117.8692192
The Needle,United States,California,Monterrey,36.52631667,-121.9489167
Fire Rock,United States,California,Monterrey,36.559119,-121.95017
Cathedral,United States,Santa Barbara,Anacapa Island,34.01412535,-119.4369006
Jenny Lynne,United States,LA County,Redondo   Palos Verdes,33.733,-118.3968
Radio Tower,United States,California,LA County,33.69885073,-118.2920265
Flat Rock,United States,LA County,Redondo   Palos Verdes,33.79705214,-118.4100652
Jade Cove,United States,California,Monterrey,35.91396667,-121.4704417
Landing Craft LCM3,United States,LA County,Redondo   Palos Verdes,33.80936667,-118.4055167
Honeymoon cove,United States,LA County,Redondo   Palos Verdes,33.76548274,-118.4220144
North T-Pier,United States,California,San Luis Obispo,35.3707304,-120.8582072
Littlerock Dam Reservoir,United States,California,LA County,34.48170909,-118.0234194
June Lake,United States,California,,37.79018889,-119.0662028
Mill Creek,United States,California,Monterrey,35.9835192,-121.4924705
Spooners Cove,United States,California,San Luis Obispo,35.27458138,-120.8888769
New Hope Rock,United States,California,San Diego,32.68602778,-117.2663889
Buchon Reef,United States,California,San Luis Obispo,35.24183333,-120.90575
Mission Bay Jetty South,United States,California,,32.75867331,-117.2428805
Mission Bay Jetty North,United States,California,,32.75982819,-117.2470808
Winfield Scott Wreck,United States,California,LA County,34.0095,-119.3875
Redondo Beach Artificial Reef,United States,LA County,Redondo   Palos Verdes,33.83833333,-118.4102778
UB88,United States,California,LA County,33.60353333,-118.23465
Ballbuster,United States,California,Monterrey,36.68346013,-121.9456673
Navarro Beach,United States,California,Sonoma,39.19012322,-123.761673
Stornetta Cove,United States,California,Sonoma,38.93199064,-123.7302589
Arena Cove,United States,California,Sonoma,38.91472815,-123.711108
Horseshoe Cove,United States,California,Sonoma,38.31644076,-123.0703712
Doran Beach,United States,California,Sonoma,38.30676305,-123.0529878
Hawthorne Reef,United States,LA County,Redondo   Palos Verdes,33.7469,-118.4205667
Yellow Banks,United States,Santa Barbara,Santa Cruz Island,34.00339956,-119.5467424
S S  Avalon Wreck,United States,LA County,Redondo   Palos Verdes,33.78855,-118.4280333
Haggerty s Crane,United States,LA County,Redondo   Palos Verdes,33.80501667,-118.4089
Star of Scotland,United States,California,LA County,33.99688872,-118.5204005
Carlsbad Artificial Reef  1,United States,California,San Diego,33.08333333,-117.3191667
La jolla Kelp Beds,United States,San Diego,La Jolla,32.85298501,-117.276907
Children s Pool,United States,San Diego,La Jolla,32.84750499,-117.2774434
Hidden Beach,United States,California,Monterrey,36.61203341,-121.8974036
Eric s Pinnacle,United States,California,Monterrey,36.64555556,-121.9447222
Net Reef,United States,Santa Barbara,Anacapa Island,34.01769142,-119.433639
Breakwater,United States,California,Monterrey,36.60996436,-121.8931818
Rubicon Point,United States,California,El Dorado County,38.9961278,-120.0936019
Emerald bay,United States,California,El Dorado County,38.95367716,-120.090732
Palawan,United States,LA County,Redondo   Palos Verdes,33.81968333,-118.4162833
Abalone Cove,United States,LA County,Redondo   Palos Verdes,33.74163333,-118.3793167
Bird Rock,United States,California,Orange County,33.54143333,-117.7889667
Laguna Beach,United States,California,Orange County,33.54213333,-117.7859667
Monument Point,United States,California,Orange County,33.54265,-117.792
Rock Pile,United States,California,Orange County,33.54298333,-117.791
Picnic Beach,United States,California,Orange County,33.54353333,-117.7929667
Hurst Shoal,United States,California,San Francisco,37.68993333,-122.9951
Southeast Farallon,United States,California,San Francisco,37.698,-122.9988833
Middle Farallon,United States,California,San Francisco,37.7292,-123.0322667
Maintop Island,United States,California,San Francisco,37.70051667,-123.0080333
Isle of Saint James,United States,California,San Francisco,37.76605,-123.0983833
Noonday Rock,United States,California,San Francisco,37.79326667,-123.1655667
Fanny Shoal,United States,California,San Francisco,37.79218333,-123.1811167
Cordell Bank,United States,California,San Francisco,38.03125,-123.41765
Point Loma,United States,California,San Diego,32.66708333,-117.2479667
Jewfish Point,United States,LA County,Catalina Island,33.32033333,-118.3032667
The Palisades,United States,LA County,Catalina Island,33.31865,-118.37385
Paradise Cove,United States,LA County,Catalina Island,33.42801667,-118.42535
Fourth of July Cove,United States,LA County,Catalina Island,33.44775,-118.4997167
Little Geiger Cove,United States,LA County,Catalina Island,33.4574,-118.5155167
Cypress Point,United States,California,Monterrey,36.57805,-121.9772
Castle Lake,United States,California,Siskiyou County,41.22981667,-122.3813833
Eagle Reef,United States,LA County,Catalina Island,33.46058333,-118.50755
East  End,United States,LA County,San Nicolas Island,33.22203333,-119.4316
San Clemente North,United States,LA County,San Clemente Island,33.03735,-118.5999833
Forney Cove,United States,Santa Barbara,Santa Cruz Island,34.05675,-119.9172667
Bowen Point,United States,Santa Barbara,Santa Cruz Island,33.95955,-119.72375
Gull Island,United States,Santa Barbara,Santa Cruz Island,33.94933333,-119.8231667
Punta Arena,United States,Santa Barbara,Santa Cruz Island,33.96275,-119.82355
Morse Point,United States,Santa Barbara,Santa Cruz Island,33.96791667,-119.8437667
Kinton Point,United States,LA County,San Nicolas Island,34.01111667,-119.8857833
Black Point,United States,Santa Barbara,Santa Cruz Island,34.03723333,-119.8857333
Castle Rock,United States,LA County,San Clemente Island,33.03413333,-118.6129167
Eel Point Reef,United States,LA County,San Clemente Island,32.91986667,-118.55505
Eel Point,United States,LA County,San Clemente Island,32.91718333,-118.54345
Seal Cove,United States,LA County,San Clemente Island,32.90671667,-118.5343
Cove Point,United States,LA County,San Clemente Island,32.8161,-118.43625
Bishop Rock,United States,LA County,San Clemente Island,32.44581667,-119.1297167
Dockweiler Beach State Park,United States,California,LA County,33.92603333,-118.4351667
Cleo Street Barge,United States,California,Orange County,33.53661667,-117.7845955
San Juan Rocks,United States,California,Orange County,33.45918333,-117.7166833
Oil Rigs Elly-Ellen,United States,California,LA County,33.58353333,-118.1294167
Oil Rig Eureka,United States,California,LA County,33.56405,-118.1158167
Oil Rig Edith,United States,California,LA County,33.59603333,-118.1416333
Doctors Cove,United States,LA County,Catalina Island,33.471,-118.5313
Ford Point,United States,Santa Barbara,Santa Rosa Island,33.91616667,-120.04475
Bee Rock,United States,Santa Barbara,Santa Rosa Island,33.94835,-120.21305
South Point,United States,Santa Barbara,Santa Rosa Island,33.89581667,-120.10715
Pinnacles,United States,Santa Barbara,Santa Rosa Island,33.9216,-119.9755
Valiant Wreck,United States,LA County,Catalina Island,33.351,-118.3253333
East Point,United States,Santa Barbara,Santa Rosa Island,33.94046667,-119.9729
Cape Cortes,United States,LA County,Catalina Island,33.42971667,-118.5348667
Ribbon Rock,United States,LA County,Catalina Island,33.43848333,-118.5705
Stony Point,United States,LA County,Catalina Island,33.47476667,-118.55415
Crane Point,United States,LA County,Catalina Island,33.4425,-118.4685167
Moonstone Cove,United States,LA County,Catalina Island,33.38913333,-118.3651167
Pirate s Cove,United States,LA County,Catalina Island,33.40461667,-118.3676667
Wilson Cove,United States,LA County,San Clemente Island,33.00695,-118.5559333
Talcott Shoal,United States,Santa Barbara,Santa Rosa Island,34.02645,-120.2346667
Frog Rock,United States,LA County,Catalina Island,33.35986667,-118.3324833
Gallagher Beach,United States,LA County,Catalina Island,33.37166667,-118.34845
Iron Bound Cove,United States,LA County,Catalina Island,33.4465,-118.5744333
Wyckoff Ledge,United States,Santa Barbara,San Miguel Island,34.02125,-120.3894167
Lions Head,United States,LA County,Catalina Island,33.45366667,-118.50155
Eel Cove,United States,LA County,Catalina Island,33.45636667,-118.5115
Big Geiger Cove,United States,LA County,Catalina Island,33.45968333,-118.5172333
Arrow Point,United States,LA County,Catalina Island,33.47651667,-118.5368333
Johnsons Rock,United States,LA County,Catalina Island,33.47688333,-118.5892333
Black Point,United States,LA County,Catalina Island,33.47573333,-118.5803333
Eagle Rock,United States,LA County,Catalina Island,33.47176667,-118.6048167
Shag Rock,United States,LA County,Santa Barbara Island,33.48663333,-119.0353667
Fishermans Cove,United States,LA County,Catalina Island,33.44495,-118.4851833
Tajiguas,United States,California,Santa Barbara,34.46355068,-120.1005435
Rat Rock,United States,Santa Barbara,Anacapa Island,34.01282694,-119.4453657
Landing cove,United States,Santa Barbara,Anacapa Island,34.01702446,-119.3620133
Biltmore,United States,California,Santa Barbara,34.41623891,-119.6422935
Monastery Beach,United States,California,Monterrey,36.52401861,-121.9271708
Lover s Point,United States,California,Monterrey,36.62636883,-121.9165385
Salt Point State Park,United States,California,Sonoma,38.56695429,-123.3300358
Ocean Cove,United States,California,Sonoma,38.5552973,-123.3043671
Stillwater Cove,United States,California,Sonoma,38.54690259,-123.2977527
Fort Ross,United States,California,Sonoma,38.50903661,-123.2363892
Osborn Bank,United States,LA County,Santa Barbara Island,33.3599,-119.0420833
Bull City,United States,LA County,San Nicolas Island,33.27206667,-119.60505
Nine Fathom Bank,United States,LA County,San Clemente Island,32.47885,-119.2157667
Tanner Bank,United States,LA County,San Clemente Island,32.70081667,-119.1348167
Willow Cove,United States,LA County,Catalina Island,33.37786667,-118.3554833
Arch Reef,United States,LA County,Santa Barbara Island,33.48921667,-119.0626333
The Rookery,United States,LA County,Santa Barbara Island,33.47098333,-119.0300667
Cat Canyon,United States,LA County,Santa Barbara Island,33.465,-119.0352833
Ben Weston Point,United States,LA County,Catalina Island,33.3568,-118.4888
Sentinel Point,United States,LA County,Catalina Island,33.37318333,-118.4855333
Binnacle Rock,United States,LA County,Catalina Island,33.30033333,-118.3336667
Seal Rocks,United States,LA County,Catalina Island,33.30733333,-118.3058333
Rock Quarry,United States,LA County,Catalina Island,33.44095,-118.4625
Sea Fan Grottos,United States,LA County,Catalina Island,33.44241667,-118.4720167
Begg Rock,United States,LA County,San Nicolas Island,33.36251667,-119.6978833
Wilson Rock,United States,Santa Barbara,San Miguel Island,34.10563333,-120.3966167
Castle Rock,United States,Santa Barbara,San Miguel Island,34.05571667,-120.4359
Point Bennett,United States,Santa Barbara,San Miguel Island,34.03141667,-120.4505333
Yellowtail Point,United States,LA County,Catalina Island,33.43313333,-118.4483333
Seal Point,United States,LA County,Catalina Island,33.42745,-118.4201167
Rippers Cove,United States,LA County,Catalina Island,33.42693333,-118.4344333
Kelp Point,United States,LA County,Catalina Island,33.43375,-118.5388333
Twin Rocks,United States,LA County,Catalina Island,33.41816667,-118.3903333
Little Gibraltar,United States,LA County,Catalina Island,33.42208333,-118.4053333
Goat Harbor,United States,LA County,Catalina Island,33.41736667,-118.3956167
Fish Hook,United States,LA County,San Clemente Island,32.82971667,-118.3587667
Coal oil point,United States,California,Santa Barbara,34.40726815,-119.8782796
Little River,United States,California,Mendocino,39.27412523,-123.7910485
White Cove,United States,LA County,Catalina Island,33.39238333,-118.3685167
Church Rock,United States,LA County,Catalina Island,33.29733333,-118.3259
China Point,United States,LA County,Catalina Island,33.32878333,-118.4703333
Pelican Bay,United States,Santa Barbara,Santa Cruz Island,34.0335,-119.7026167
Christmas Tree Cove,United States,LA County,Redondo   Palos Verdes,33.76277962,-118.4188414
Cabrillo Beach,United States,LA County,Redondo   Palos Verdes,33.70882498,-118.2837921
McAbee,United States,California,Monterrey,36.6156568,-121.8988413
Underwater Arch,United States,LA County,Redondo   Palos Verdes,33.7511948,-118.4177899
Archery Range,United States,LA County,Redondo   Palos Verdes,33.73769245,-118.3681878
Pt  Vicente Pinnacles,United States,LA County,Redondo   Palos Verdes,33.74063219,-118.4122431
Horse Pastures,United States,California,Orange County,33.48333333,-117.7275
Long Beach Breakwater,United States,California,LA County,33.72323762,-118.1868571
Cherry Cove,United States,LA County,Catalina Island,33.45166667,-118.501
Lobster Bay,United States,LA County,Catalina Island,33.42958333,-118.5277667
Painted cave,United States,Santa Barbara,Santa Cruz Island,34.07203333,-119.86
San Nicholas Island,United States,LA County,San Nicolas Island,33.28333333,-119.5033333
Sutil Island,United States,LA County,Santa Barbara Island,33.46166667,-119.0441667
Point Lobos,United States,California,Monterrey,36.52041463,-121.9406435
Harbor Reefs,United States,LA County,Catalina Island,33.4483,-118.49205
Skunk Bay,United States,Santa Barbara,Santa Rosa Island,33.96166667,-119.9647222
Prince Island,United States,Santa Barbara,San Miguel Island,34.0585438,-120.3338099
Bechers Cove,United States,Santa Barbara,Santa Rosa Island,34.00362778,-120.0317583
Ship Rock,United States,LA County,Catalina Island,33.46305556,-118.4911111
Pyramid Cove,United States,LA County,San Clemente Island,32.81666667,-118.3916667
Cortez Bank,United States,LA County,San Clemente Island,32.43166667,-119.0883333
USS John C  Butler,United States,LA County,San Clemente Island,33.03606667,-118.5827
Farnsworth Bank,United States,LA County,Catalina Island,33.34355,-118.5198333
Coral Gardens,United States,LA County,San Clemente Island,33.04348333,-118.6268
La Jolla Shores,United States,San Diego,La Jolla,32.85566181,-117.2582012
Bourgeoisie Cove,United States,California,Orange County,33.5837978,-117.8644127
Aliso,United States,California,Orange County,33.51190673,-117.7564967
Point Dume,United States,California,LA County,33.98834915,-118.805809
NOSC Tower Wreck,United States,California,San Diego,32.77192778,-117.2686806
Arch Rock Cove,United States,Santa Barbara,Anacapa Island,34.01703335,-119.3561018
Coral Reef,United States,Santa Barbara,Anacapa Island,34.00873594,-119.4390678
Breakwater,United States,California,Monterrey,36.60947346,-121.893729
Mesa,United States,California,Santa Barbara,34.396641,-119.731166
Suejac Wreck,United States,LA County,Catalina Island,33.34867866,-118.3231992
USS Peacock Wreck,United States,Santa Barbara,Santa Cruz Island,34.04887258,-119.5482445
Scorpion Anchorage,United States,Santa Barbara,Santa Cruz Island,34.06076588,-119.5746803
Nicholas Canyon,United States,California,LA County,34.04308533,-118.9153934
White Point,United States,LA County,Redondo   Palos Verdes,33.70793694,-118.3189559
Veteran s Park,United States,LA County,Redondo   Palos Verdes,33.83623703,-118.3918476
Crescent Cove,United States,California,Orange County,33.545669,-117.8037143
Dead Man s Reef,United States,California,Orange County,33.54134101,-117.8063428
Woods Cove,United States,California,Orange County,33.526725,-117.7704033
Fisherman s Cove,United States,California,Orange County,33.54528897,-117.7958125
Diver s Cove,United States,California,Orange County,33.54463174,-117.7945626
Shaws Cove,United States,California,Orange County,33.54431877,-117.7995676
Malaga cove,United States,California,LA County,33.80401167,-118.3942933
Casino Point,United States,LA County,Catalina Island,33.34927017,-118.3248782
Butterfly House,United States,California,Monterrey,36.54160934,-121.9331306
Coral Street Beach,United States,California,Monterrey,36.63593864,-121.9275141
Marineland,United States,LA County,Redondo   Palos Verdes,33.73600617,-118.3979014
Refugio,United States,California,Santa Barbara,34.462382,-120.07264
Pebbly Beach,United States,LA County,Catalina Island,33.47491667,-118.5337833
Garibaldi Reef,United States,LA County,Catalina Island,33.32601667,-118.3053167
Little Farnsworth,United States,LA County,Catalina Island,33.33378333,-118.3076333
East End Eagle Reef,United States,LA County,Catalina Island,33.46043333,-118.50735
Long Point,United States,LA County,Catalina Island,33.40558333,-118.3666
Bird Rock Wall,United States,LA County,Catalina Island,33.4524,-118.4887333
Italian Gardens,United States,LA County,Catalina Island,33.41068333,-118.3735
Torqua Springs,United States,LA County,Catalina Island,33.3838,-118.3592
Hen Rock,United States,LA County,Catalina Island,33.39912588,-118.3667582
Ruby E  Wreck,United States,California,San Diego,32.76722222,-117.2766667
Yukon Wreck,United States,California,San Diego,32.78016667,-117.285
La Jolla Cove,United States,San Diego,La Jolla,32.85061458,-117.2725189
The Cave,United States,San Diego,La Jolla,32.85026307,-117.2701478
Blue Cavern,United States,LA County,Catalina Island,33.44755651,-118.4770775
Emerald Bay,United States,LA County,Catalina Island,33.468036,-118.526044
Pirates Hide Out,United States,Keys,Marquesas Keys,24.59176132,-82.14965386
Ana Cecilia Wreck,United States,Florida,Palm Beach,26.7853,-80.016
Drifting Spot,United States,Florida,Palm Beach,26.75465,-80.01168333
Castor Wreck,United States,Florida,,26.47883333,-80.03713333
Jose Cuervo Bar,United States,Florida,Miami,25.7689,-80.12823333
Mathew Lawrence,United States,Florida,Miami,25.811,-80.07338333
RJ s Ledge,United States,Florida,Miami,25.72363333,-80.09925
Rainbow Reef,United States,Florida,Miami,25.69325,-80.0972
Emerald Reef,United States,Florida,Miami,25.67476667,-80.09775
African Queen,United States,Florida,Miami,25.78006667,-80.07553333
Alicia,United States,Florida,Miami,25.41223333,-80.12736667
Andro,United States,Florida,Miami,25.89405,-80.08555
Arratoon Apcar,United States,Florida,Miami,25.58993256,-80.09604439
Belzona Barge,United States,Florida,Miami,25.69583333,-80.087
Concepcion,United States,Florida,Miami,25.90936667,-80.08995
C-One,United States,Florida,Miami,25.90916667,-80.09006667
Customs Reef,United States,Florida,Miami,25.6995,-80.08316667
Deep Freeze,United States,Florida,Miami,25.82171667,-80.08251667
Erl King,United States,Florida,Miami,25.42421881,-80.12420037
Golden Beach Boulder Reef,United States,Florida,Miami,25.96266,-80.0978251
